,HS_CODE
532,305790000
533,306111000
534,306119000
535,3061210
536,306121010
537,306121020
538,306129000
539,3061410
540,30614101
541,306141011
542,306141012
543,306141090
544,3061420
545,306142010
546,306142090
547,3061430
548,306143010
549,306143090
550,3061490
551,306149010
552,306149090
553,306151000
554,306159000
555,3061610
556,306161010
557,306161090
558,3061690
559,306169010
560,306169090
561,3061710
562,306171010
563,306171090
564,3061790
565,306179010
566,306179090
567,306191000
568,306199000
569,306310000
570,306320000
571,306331000
572,306332000
573,306339000
574,306340000
575,306350000
576,306360000
577,306390000
578,306912000
579,306913000
580,306914000
581,306922000
582,306923000
583,3069240
584,306924010
585,306924020
586,306932000
587,306933000
588,3069340
589,30693401
590,306934011
591,306934012
592,306934090
593,306942000
594,306943000
595,306944000
596,3069510
597,306951020
598,306951030
599,306951040
600,3069590
601,306959020
602,306959030
603,306959040
604,306992000
605,306993000
606,306994000
607,3071110
608,307111010
609,307111090
610,307119000
611,307120000
612,307192000
613,307193000
614,307194000
615,307210000
616,307220000
617,307292000
618,307293000
619,307294000
620,307310000
621,307320000
622,307392000
623,307393000
624,307399000
625,3074210
626,307421010
627,307421090
628,3074220
629,307422010
630,307422090
631,3074310
632,307431010
633,307431090
634,3074320
635,307432010
636,307432090
637,3074920
638,307492010
639,307492090
640,3074930
641,307493010
642,307493090
643,3074940
644,307494010
645,307494090
646,307511000
647,307512000
648,307519000
649,307521000
650,307522000
651,307523000
652,307529000
653,307592000
654,307593000
655,307599000
656,307601000
657,307609000
658,3077110
659,307711010
660,307711090
661,3077120
662,307712010
663,307712090
664,307713000
665,307714000
666,307715000
667,307719000
668,307721000
669,307722000
670,307723000
671,307724000
672,307725000
673,307729000
674,3077920
675,307792010
676,307792020
677,307792030
678,307792090
679,3077930
680,307793010
681,307793020
682,307793030
683,307793090
684,3077940
685,30779401
686,307794011
687,307794019
688,307794090
689,307810000
690,307820000
691,307830000
692,307840000
693,307871000
694,307872000
695,307873000
696,307881000
697,307882000
698,307883000
699,307911000
700,3079120
701,307912010
702,307912090
703,307913000
704,307914000
705,307919000
706,307921000
707,307922000
708,307929000
709,307992
710,307992100
711,307992900
712,307993
713,307993100
714,307993900
715,307994
716,3079941
717,307994110
718,307994120
719,307994900
720,308110000
721,308120000
722,308192000
723,308193000
724,308194000
725,308210000
726,308220000
727,308292000
728,308293000
729,308294000
730,308301000
731,308302000
732,308303000
733,308304000
734,308305000
735,3089010
736,30890101
737,308901011
738,308901019
739,308901090
740,3089020
741,308902010
742,308902090
743,3089030
744,308903010
745,308903090
746,308904000
747,308905000
748,401100000
749,401200000
750,401401000
751,401409000
752,401501000
753,401509000
754,4021010
755,402101010
756,402101090
757,402109000
758,402211000
759,402219000
760,402290000
761,402911000
762,402919000
763,402991000
764,402999000
765,403101000
766,403102000
767,403109000
768,403901000
769,403902000
770,403903000
771,403909000
772,4041010
773,40410101
774,404101011
775,404101019
776,40410109
777,404101091
778,404101099
779,404102
780,4041021
781,40410211
782,404102111
783,404102119
784,40410212
785,404102121
786,404102129
787,40410213
788,404102131
789,404102139
790,40410219
791,404102191
792,404102199
793,4041029
794,404102910
795,404102990
796,404901000
797,404902000
798,405100000
799,405200000
800,405900000
801,4061010
802,406101010
803,406101020
804,406101090
805,406102000
806,406200000
807,406300000
808,406400000
809,406901000
810,406902000
811,406903000
812,406904000
813,406909000
814,407110000
815,407190000
816,407210000
817,407290000
818,407900000
819,408110000
820,408190000
821,408910000
822,408991000
823,408999000
824,409000000
825,410002000
826,410003000
827,410009000
828,501000000
829,502100000
830,502902000
831,502909000
832,5040010
833,504001010
834,50400102
835,504001021
836,504001029
837,50400103
838,504001031
839,504001039
840,504001090
841,504002000
842,504003000
843,505100000
844,505901000
845,505909000
846,506100000
847,5069010
848,506901020
849,506901090
850,506902000
851,506909000
852,507101000
853,507109000
854,507901
855,5079011
856,507901110
857,507901190
858,507901200
859,5079020
860,507902010
861,507902020
862,507902090
863,508001000
864,5080020
865,508002010
866,508002020
867,508002030
868,508002040
869,508002050
870,508002060
871,508002070
872,508002090
873,508009000
874,510001000
875,510002000
876,510003000
877,510004000
878,510005000
879,5100090
880,510009010
881,510009020
882,510009030
883,510009090
884,511100000
885,5119110
886,511911010
887,511911090
888,511912000
889,511919000
890,511991000
891,5119920
892,511992010
893,511992090
894,5119930
895,511993010
896,511993020
897,511993090
898,511994000
899,5119950
900,51199501
901,511995011
902,511995019
903,511995020
904,511996000
905,5119990
906,511999010
907,511999020
908,511999030
909,511999040
910,511999090
911,601101000
912,601102000
913,601103000
914,601104000
915,601105000
916,601106000
917,601107000
918,601108000
919,601109000
920,601201000
921,601202000
922,601203000
923,601204000
924,601205000
925,601206000
926,601207000
927,601208000
928,6012090
929,601209010
930,601209090
931,602101000
932,602109000
933,602201000
934,602202000
935,602203000
936,602204000
937,602205000
938,602206000
939,6022070
940,602207010
941,602207020
942,602207030
943,602209000
944,602300000
945,602400000
946,6029010
947,602901010
948,602901020
949,602901030
950,602901040
951,602901050
952,602901060
953,602901090
954,6029020
955,60290201
956,602902011
957,602902019
958,602902020
959,602902030
960,602902040
961,602902050
962,60290206
963,602902061
964,602902069
965,60290207
966,602902071
967,602902079
968,60290208
969,602902081
970,602902089
971,60290209
972,602902091
973,602902099
974,6029090
975,602909010
976,602909020
977,602909030
978,602909040
979,602909090
980,603110000
981,603120000
982,603131000
983,603132000
984,603139000
985,603140000
986,603150000
987,603191000
988,603192000
989,603194000
990,603199000
991,603900000
992,604201000
993,6042020
994,604202010
995,604202090
996,604209000
997,604901000
998,604909000
999,701100000
1000,701900000
1001,702000000
1002,703101000
1003,703102000
1004,703201000
1005,703209000
1006,703901000
1007,703909000
1008,704100000
1009,704200000
1010,704901000
1011,704902000
1012,704909000
1013,705110000
1014,705190000
1015,705210000
1016,705290000
1017,706101000
1018,706102000
1019,706901000
1020,706902000
1021,706903000
1022,706904000
1023,706909000
1024,707000000
1025,708100000
1026,708200000
1027,708900000
1028,709200000
1029,709300000
1030,709400000
1031,709517000
1032,709519000
1033,709591000
1034,709592000
1035,709593000
1036,7095940
1037,709594010
1038,709594090
1039,709595000
1040,709596000
1041,709599000
1042,709601000
1043,709609000
1044,709700000
1045,709910000
1046,709920000
1047,709930000
1048,709991000
1049,709992000
1050,709999000
1051,710100000
1052,710210000
1053,710220000
1054,710290000
1055,710300000
1056,710400000
1057,710801000
1058,710802000
1059,710803000
1060,710804000
1061,710805000
1062,710806000
1063,710807000
1064,7108080
1065,710808010
1066,710808020
1067,710809000
1068,710900000
1069,711200000
1070,711400000
1071,711510000
1072,711591000
1073,711599000
1074,711901000
1075,711903000
1076,711904000
1077,7119050
1078,711905010
1079,711905020
1080,71190509
1081,711905091
1082,711905099
1083,711909000
1084,712200000
1085,712311000
1086,712319000
1087,712320000
1088,712330000
1089,7123910
1090,712391010
1091,712391020
1092,712391030
1093,712391040
1094,712391050
1095,712391090
1096,712392000
1097,712901000
1098,7129020
1099,712902010
1100,712902020
1101,712902030
1102,712902040
1103,712902050
1104,712902060
1105,712902070
1106,712902080
1107,71290209
1108,712902091
1109,712902092
1110,712902093
1111,712902094
1112,712902095
1113,712902096
1114,712902097
1115,712902099
1116,712909000
1117,713101000
1118,713102000
1119,713109000
1120,713200000
1121,713311000
1122,713319000
1123,713321000
1124,713329000
1125,713331000
1126,713339000
1127,713340000
1128,713350000
1129,713390000
1130,713400000
1131,713500000
1132,713600000
1133,713900000
1134,714101000
1135,7141020
1136,714102010
1137,714102020
1138,714102090
1139,714103000
1140,714104000
1141,714201000
1142,714202000
1143,714203000
1144,714204000
1145,714301000
1146,714309000
1147,714401000
1148,714409000
1149,714501000
1150,714509000
1151,7149010
1152,714901010
1153,714901090
1154,7149090
1155,714909010
1156,714909090
1157,801110000
1158,801120000
1159,801190000
1160,801210000
1161,801220000
1162,801310000
1163,801320000
1164,802110000
1165,802120000
1166,802210000
1167,802220000
1168,802310000
1169,802320000
1170,802410000
1171,802420000
1172,802510000
1173,802520000
1174,802610000
1175,802620000
1176,802700000
1177,802800000
1178,8029010
1179,802901010
1180,802901020
1181,8029020
1182,802902010
1183,802902020
1184,802909000
1185,803100000
1186,803900000
1187,804100000
1188,804200000
1189,804300000
1190,804400000
1191,804501000
1192,804502000
1193,804503000
1194,805100000
1195,805211000
1196,805219000
1197,805220000
1198,805290000
1199,805400000
1200,805501000
1201,8055020
1202,805502010
1203,805502020
1204,805900000
1205,806100000
1206,806200000
1207,807110000
1208,807190000
1209,807200000
1210,808100000
1211,808300000
1212,808400000
